CourseCode,CourseName,College,Survey1_Median,Survey1_Std,Survey1_Q1,Survey1_Q3,Survey2_Median,Survey2_Std,Survey2_Q1,Survey2_Q3,Survey3_Median,Survey3_Std,Survey3_Q1,Survey3_Q3,Survey4_Median,Survey4_Std,Survey4_Q1,Survey4_Q3,Survey5_Median,Survey5_Std,Survey5_Q1,Survey5_Q3,Survey6_Median,Survey6_Std,Survey6_Q1,Survey6_Q3,Survey7_Median,Survey7_Std,Survey7_Q1,Survey7_Q3
KMC02108,한국미술사입문,방목기초교육대학,4.0,0.7888106377466155,3.0,4.0,4.0,0.7378647873726217,3.25,4.0,4.0,0.7378647873726217,3.25,4.0,4.0,0.7888106377466155,3.0,4.0,4.0,0.6666666666666666,4.0,4.0,5.0,1.07496769977314,4.25,5.0,4.5,0.8232726023485646,4.0,5.0
KMC02109,서양미술사입문,방목기초교육대학,5.0,0.7264831572567788,4.0,5.0,5.0,0.4409585518440984,5.0,5.0,5.0,0.4409585518440984,5.0,5.0,5.0,0.4409585518440984,5.0,5.0,5.0,0.4999999999999999,4.0,5.0,5.0,0.3333333333333333,5.0,5.0,5.0,0.44095855184409855,5.0,5.0
KMC02110,색채학,방목기초교육대학,3.0,1.1842461840302647,3.0,5.0,4.0,0.8603742804378942,3.0,5.0,4.0,0.8130040650304877,4.0,5.0,3.0,0.9383431168171098,3.0,5.0,4.0,0.9193051458680692,4.0,5.0,5.0,0.9454641394703398,4.0,5.0,5.0,0.9212928349905244,4.0,5.0
KMC02111,디자인사,방목기초교육대학,3.5,1.164157703189193,3.0,5.0,4.5,1.020835571068081,3.0,5.0,5.0,1.005249379900069,3.0,5.0,4.5,1.1697953037312037,3.0,5.0,4.5,0.9679060415469871,3.0,5.0,4.5,0.9514531821875087,3.75,5.0,4.5,1.0894228312566052,3.75,5.0
KMC02112,음악감상법,방목기초교육대학,3.0,1.0954451150103321,3.0,3.75,3.5,1.2110601416389968,2.25,4.0,3.5,1.0488088481701516,3.0,4.0,3.0,0.5163977794943223,3.0,3.75,4.0,0.5163977794943222,3.25,4.0,4.0,0.4082482904638631,4.0,4.0,4.0,0.8366600265340756,3.25,4.0
KMC02113,디자인개론,방목기초교육대학,3.0,1.1175919907137442,3.0,4.0,4.0,0.9678630550241248,3.0,5.0,4.0,0.928256472668725,3.0,5.0,4.0,1.009833078211346,3.0,5.0,4.0,0.85048230910629,3.5,5.0,4.0,0.9678630550241252,3.0,5.0,4.0,0.9001536978993628,3.0,5.0
KMC02114,서양건축사,방목기초교육대학,3.0,1.2093386622447824,3.0,5.0,4.0,1.3416407864998738,3.0,5.0,3.0,1.138346754435279,3.0,5.0,3.5,1.0468205831628137,3.0,5.0,3.0,1.408308678285174,3.0,5.0,3.0,1.3022416570411703,3.0,5.0,3.5,1.2909944487358056,3.0,5.0
KMC02122,영화와예술,방목기초교육대학,3.5,1.1507283885330302,3.0,4.75,4.0,1.167320591199077,3.0,5.0,4.0,1.167320591199077,3.0,5.0,3.5,1.2513728724621076,3.0,5.0,4.0,1.231455852429764,3.0,5.0,4.0,1.231455852429764,3.0,5.0,4.0,1.2066664642907567,3.0,5.0
KMC02125,공간디자인이해,방목기초교육대학,4.0,1.0275767506588613,3.0,4.0,4.0,0.7718153436743679,3.5,5.0,4.0,0.8700512900466432,3.0,4.5,4.0,0.8058922791486453,3.0,4.5,4.0,0.679974699086554,4.0,4.5,4.0,0.6878359394287946,4.0,5.0,4.0,0.7273460373608398,4.0,5.0
KMC02126,미술사의이해,방목기초교육대학,3.5,0.7977240352174656,3.0,4.0,4.0,0.7537783614444089,4.0,5.0,4.0,0.8528028654224417,3.0,5.0,3.5,0.90033663737852,3.0,4.0,4.0,0.7177405625652735,4.0,5.0,4.0,0.7537783614444091,4.0,5.0,4.0,0.7537783614444091,4.0,5.0
KMC02131,동서양미술과미학,방목기초교육대학,4.0,1.044465935734187,3.0,5.0,5.0,0.674199862463242,4.0,5.0,4.5,0.7784989441615229,4.0,5.0,4.5,0.8660254037844386,3.75,5.0,4.5,0.8660254037844386,3.75,5.0,5.0,0.9653072991634227,3.0,5.0,5.0,0.7977240352174656,4.0,5.0
KMC02132,건축학개론,방목기초교육대학,3.0,0.9455779434075349,3.0,4.0,4.0,0.7129062309432056,4.0,5.0,4.0,0.7297595628752276,4.0,5.0,4.0,0.9305279968604795,3.0,5.0,4.0,0.8236694558796142,3.0,5.0,4.0,0.7018183665364159,4.0,5.0,4.0,0.6656855525711526,4.0,5.0
KMC02200,기초댄스1,방목기초교육대학,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0
KMC02202,뮤지컬음악의이해1,방목기초교육대학,5.0,1.5,4.25,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0
KMC02207,뮤지컬공연감상,방목기초교육대학,4.0,1.044465935734187,3.0,5.0,4.0,0.6685579234215214,4.0,4.25,4.0,0.8348471099367217,3.75,5.0,4.0,0.9653072991634227,3.0,4.25,4.0,0.7177405625652734,4.0,5.0,5.0,0.674199862463242,4.0,5.0,5.0,0.6685579234215215,4.0,5.0
KMC02208,한국건축사,방목기초교육대학,3.0,0.9574271077563381,2.75,3.25,3.5,0.9999999999999999,3.0,5.0,3.0,1.2583057392117918,2.0,4.0,3.0,0.7274384280931732,3.0,4.0,4.0,0.816496580927726,4.0,4.25,4.0,0.9574271077563381,3.0,4.0,3.5,0.8850612031567835,3.0,4.0
KMC02210,오페라의감상과이해,방목기초교육대학,3.0,1.245945806357946,3.0,5.0,4.0,0.7988086367179803,3.5,5.0,4.0,0.6761234037828133,4.0,5.0,4.0,1.0600988273786194,3.0,5.0,4.0,0.6761234037828133,4.0,5.0,4.0,0.7237468644557459,4.0,5.0,4.0,0.7745966692414835,4.0,5.0
KMC02217,문화속디자인여행(KCU),방목기초교육대학,3.0,1.0590555412516298,3.0,4.0,4.0,0.8033729913715708,3.0,5.0,4.0,0.8718968296952643,3.0,5.0,3.0,0.9216777071831386,3.0,5.0,4.0,0.9931739816482957,3.0,5.0,4.0,0.8859254740542408,3.0,5.0,4.0,0.8375742428256123,3.0,5.0
KMC02218,문화콘텐츠와스토리텔링,방목기초교육대학,3.5,0.983192080250175,3.0,4.75,4.0,0.752772652709081,4.0,4.75,5.0,0.8366600265340756,4.25,5.0,4.0,0.8944271909999159,3.25,4.75,5.0,0.8366600265340756,4.25,5.0,5.0,0.8366600265340756,4.25,5.0,5.0,0.8366600265340756,4.25,5.0
KMC02219,문학과상상력의세계,방목기초교육대학,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0
KMC02221,음식으로읽는중국문학,방목기초교육대학,2.0,0.9511897312113418,2.0,2.5,4.0,1.3801311186847083,3.5,4.5,4.0,0.7559289460184545,4.0,5.0,4.0,0.6900655593423543,3.5,4.0,4.0,0.816496580927726,3.5,4.5,4.0,0.6900655593423541,3.5,4.0,4.0,0.7559289460184544,4.0,5.0
KMC02224,기초댄스1,방목기초교육대학,4.0,1.1002392084403616,3.0,5.0,4.0,0.6882472016116852,4.0,5.0,4.0,0.7050361858740392,4.0,4.5,4.0,0.7647191129018724,4.0,5.0,4.0,0.6533762964749495,4.0,5.0,4.0,0.7132825035177586,4.0,5.0,4.0,0.8549819600709617,4.0,5.0
KMC02226,생각담은유럽문화,방목기초교육대학,3.0,1.068242079840118,3.0,4.0,4.0,0.9962391743414291,3.0,4.0,3.0,1.0696467380140715,3.0,4.0,3.0,1.0126823418651703,3.0,4.0,4.0,0.9087495946771177,3.0,4.0,4.0,0.986393923832144,3.0,5.0,4.0,1.0141639554473079,3.0,5.0
KMC02227,인류문명과기록문화로의여행,방목기초교육대학,3.0,1.1050434309468922,3.0,4.0,4.0,0.940470061785869,3.0,4.0,4.0,0.9054781254564406,3.0,4.0,3.0,0.9379228369755697,3.0,4.0,4.0,1.0316256772375085,3.0,5.0,4.0,0.9738550772838874,3.0,5.0,4.0,0.9557896392964649,3.0,5.0
KMC02228,일본어로배우는일본의사회와문화,방목기초교육대학,3.0,1.0661316225666682,3.0,5.0,4.0,0.9475747452828709,3.0,5.0,4.0,1.1170262968022497,3.0,4.0,4.0,0.886163238509297,3.0,5.0,4.0,0.775952383914182,3.0,4.0,4.0,0.8109609470607433,3.0,4.0,4.0,0.9538919802105005,3.0,5.0
KMC02229,모두함께배우는글로벌사회와문화,방목기초교육대학,3.0,0.0,3.0,3.0,3.5,0.7071067811865476,3.25,3.75,3.5,0.7071067811865476,3.25,3.75,3.5,0.7071067811865476,3.25,3.75,3.5,0.7071067811865476,3.25,3.75,3.5,0.7071067811865476,3.25,3.75,3.5,0.7071067811865476,3.25,3.75
KMC02231,세계음식문화,방목기초교육대학,3.0,1.033351872284568,3.0,5.0,4.0,0.8709883407113853,3.0,5.0,4.0,0.9097176522946842,3.0,5.0,3.5,0.9352607356658146,3.0,5.0,4.0,0.7396799556440673,4.0,5.0,4.0,0.7760791522613609,4.0,5.0,4.0,0.8193072487266861,3.25,5.0
KMC02233,이슬람문명의역사와문화기행,방목기초교육대학,3.0,1.31008093518591,2.0,4.0,4.0,1.0566825512822657,3.0,5.0,4.0,1.0619131671036408,3.0,5.0,3.0,1.1485420915970876,3.0,4.25,3.0,1.0510042478877115,3.0,5.0,4.0,1.0817637292669073,3.0,5.0,4.0,0.9673298043349073,3.0,5.0
KMC02236,사회문화와디자인,방목기초교육대학,4.0,0.5,4.0,4.25,3.0,1.5,2.0,4.25,3.5,1.2909944487358054,2.75,4.25,3.5,0.9574271077563382,3.0,4.25,3.0,1.5,2.0,4.25,3.0,1.5,2.0,4.25,3.5,1.2909944487358054,2.75,4.25
KMD02101,법학개론,방목기초교육대학,4.0,1.0127393670836666,3.0,4.0,4.0,0.6558958989042621,4.0,5.0,4.0,0.7862783338192769,4.0,5.0,4.0,0.7698003589195012,3.0,4.0,4.0,0.8770580193070292,3.0,5.0,4.0,0.6979824404521127,4.0,5.0,4.0,0.6877023141843227,4.0,5.0
KMD02102,국제정치의이해,방목기초교육대학,3.0,1.1368773542370678,3.0,4.0,4.0,0.9023465237988438,3.0,4.0,4.0,1.0272954630384807,3.0,4.0,4.0,0.8913284485317718,3.0,4.0,4.0,1.0834726777719228,3.0,5.0,4.0,0.9493080483968247,4.0,5.0,4.0,0.9999999999999998,3.0,5.0
KMD02103,대중문화와매스컴,방목기초교육대학,3.0,1.2112780730021273,3.0,5.0,4.0,1.0570099265934279,3.0,5.0,4.0,1.0223741334649856,3.75,5.0,4.0,1.0162703527429369,3.0,5.0,4.0,1.0171975223115133,4.0,5.0,4.0,0.9778851808099261,4.0,5.0,5.0,1.0043269885098032,3.0,5.0
KMD02104,인터넷과커뮤니케이션,방목기초교육대학,3.5,0.7838233761296738,3.0,4.0,4.0,0.8084520834544432,3.0,4.0,4.0,0.8264420947336313,3.0,4.0,3.0,0.7859052479933758,3.0,4.0,4.0,0.7583952786593612,4.0,5.0,4.0,0.83235236379573,3.25,5.0,4.0,0.8023657829651026,3.25,5.0
KMD02107,경상통계학,방목기초교육대학,3.0,1.03363942590086,3.0,4.0,4.0,0.82198170511347,3.0,4.5,4.0,0.9780282385557559,3.0,4.0,4.0,0.8437246158339727,3.0,5.0,4.0,0.8446779772859423,3.0,5.0,4.0,0.7732967913843898,4.0,5.0,4.0,0.8183017207836146,3.0,5.0
KMD02108,현대사회와정보,방목기초교육대학,3.5,1.3662601021279464,3.0,4.0,4.0,0.6324555320336759,4.0,4.0,4.0,0.752772652709081,3.25,4.0,4.0,1.1690451944500122,3.25,4.75,4.5,0.8164965809277259,4.0,5.0,5.0,0.8366600265340756,4.25,5.0,4.5,0.9831920802501751,3.25,5.0
KMD02109,행정학개론,방목기초교육대학,3.0,1.0509766507118006,3.0,3.75,4.0,0.8180920105315719,3.0,5.0,4.0,0.929981109950554,3.0,5.0,3.5,1.0095560479439742,3.0,5.0,4.0,0.8550743855574293,3.0,5.0,4.0,0.8335940796430428,3.25,5.0,4.0,0.8752158847679885,3.0,5.0
KMD02113,인간관계와커뮤니케이션,방목기초교육대학,3.0,1.1489372911539897,3.0,4.0,4.0,0.9560022259626381,3.0,4.0,4.0,0.9451530918314647,3.0,4.75,3.0,1.0813299855712828,3.0,4.0,4.0,0.9824201544584688,3.0,5.0,4.0,0.9634132068392957,3.0,5.0,4.0,1.0359814033052472,3.0,5.0
KMD02114,미시경제학원론,방목기초교육대학,3.0,1.1647154747190156,2.25,4.0,4.0,0.8665281761947344,3.0,5.0,4.0,1.0075210779014976,3.0,5.0,3.5,0.9283257067894752,3.0,4.0,4.0,0.9055256877616908,3.0,5.0,4.0,0.932071488138738,3.0,5.0,4.0,0.8942323903461844,3.0,5.0
